,Screening,Title,Abstract,Keywords
204,excluded,Models of pace-of-life syndromes (pols): a systematic review,"Variation in life history (LH) traits along the fast-slow continuum (referred to as pace of life, POL) is thought to result from a trade-off between investments in current versus future reproduction. Originally developed for understanding variation in LH strategies at the among-population level, the POL theory has more recently been applied towards understanding variation in LH traits at the within-population level, and further extended to address the covariance of LH traits with additional behavioural and/or physiological traits, referred to as pace-of-life syndromes (POLS). The article by Reale et al. (Philos T Roy Soc B 365: 4051-4063, 2010), which synthesized several earlier reviews and opinions on among-individual covariation between LH, behavioural, and physiological traits, and subsequent research testing POLS in a variety of species, have collectively been cited several hundreds of times-a trend that continues. These works have interdisciplinary impact, informing research in life history biology, behavioural and developmental biology, and the social sciences. In this paper, we review the existing theoretical POLS models that provide adaptive explanations for covariances between LH traits and additional behavioural and/or physiological traits while assuming a trade-off between current and future reproduction. We find that the set of relevant models is small. Moreover, models show that covariances between life history traits and behavioural or physiological traits can arise even in the absence of a current-future reproduction trade-off, implying that observing such covariances does not provide a strong indication regarding the process generating POLS. We discuss lessons learned from existing models of POLS, highlight key gaps in the modelling literature, and provide guidelines for better integration between theory and data.",Animal personality; Consistent among-individual differences; Life history trade-offs; Physiology; Trait covariance
205,included,"A global meta-analysis of changes in soil carbon, nitrogen, phosphorus and sulfur, and stoichiometric shifts after forestation","Planted forests, established on non-forest lands, play an important role in enhancing terrestrial carbon (C) sequestration. Understanding the changes in soil C, nutrients and stoichiometry in planted forests is important for forest management. We conducted a global meta-analysis of changes in C, nitrogen (N), phosphorus (P) and sulfur (S) and their stoichiometry in mineral soils of planted forest across broad climatic zones from 139 papers. Soil C and N are slightly decreased after forestation on grassland, moderately increased after forestation on cropland, and substantially increased after forestation on barren land. Forestation does not affect total soil P, but the available P is significantly depleted after the forestation of grassland and cropland with N-fixers. Changes in soil nutrients (N, P and S) and shifts in stoichiometry (ratios of C:N, C:P and N:P) are significantly related to soil C dynamics (p < 0.05). Soil C sequestration is the lowest in the boreal zone, and greater under plantation with N-fixing species than under non-fixing species. Changes in soil C and nutrients after forestation mainly differ to prior land use. Compared with forestation of grassland, forestation of barren land is a more effective approach to enhancing C sequestration.",Carbon sequestration; Planted forests; Nutrient availability; Soil properties; Stoichiometry
206,excluded,Behavioral monitoring of sexual offenders against children in virtual risk situations: a feasibility study,"The decision about unsupervised privileges for sexual offenders against children (SOC) is one of the most difficult decisions for practitioners in forensic high-security hospitals. Facing the possible consequences of the decision for the society, a valid and reliable risk management of SOCs is essential. Some risk management approaches provide frameworks for the construction of relevant future risk situations. Due to ethical reasons, it is not possible to evaluate the validity of constructed risk situations in reality. The aim of the study was to test if behavioral monitoring of SOCs in high-immersive virtual risk situations provides additional information for risk management. Six SOCs and seven non-offender controls (NOC) walked through three virtual risk situations, confronting the participant with a virtual child character. The participant had to choose between predefined answers representing approach or avoidance behavior. Frequency of chosen answers were analyzed in regards to knowledge of the participants about coping skills and coping skills focused during therapy. SOCs and NOCs behavior differed only in one risk scenario. Furthermore, SOCs showed in 89% of all cases a behavior not corresponding to their own belief about adequate behavior in comparable risk situations. In 62% of all cases, SOCs behaved not corresponding to coping skills they stated that therapists focused on during therapy. In 50% of all cases, SOCs behaved in correspondence to coping skills therapists stated that they focused on during therapy. Therapists predicted the behavior of SOCs in virtual risk situations incorrect in 25% of all cases. Thus, virtual risk scenarios provide the possibility for practitioners to monitor the behavior of SOCs and to test their decisions on unsupervised privileges without endangering the community. This may provide additional information for therapy progress. Further studies are necessary to evaluate the predictive and ecological validity of behavioral monitoring in virtual risk situations for real life situations.",risk assessment; risk management; virtual reality; virtual environment; child abuser; pedophilic disorder; pedophilia
207,excluded,Sagebrush wildfire effects on surface soil nutrient availability: a temporal and spatial study,"Wildfires occurring in Artemisia (sagebrush) ecosystems can temporarily increase soil nutrient availability in surface soil. Less is known, however, on how soil nutrient availability changes over time and microsite post-wildfire. In October 2013 a wildfire approximately 30 km north of Reno, Nevada, occurred in an Artemisia tridentata ssp. vaseyana (mountain big sagebrush) community. We quantified soil nutrient availability of surface soil (0-10 cm) by microsite (shrub interspace and shrub canopy), treatment (burned and unburned), and temporally (monthly from November 2013 through May 2015). Changes in nutrient availability, due to wildfire, largely occurred in shrub canopy microsites. For most months and relative to unburned shrub canopies, burned shrub canopies had elevated availability of mineral N (dominantly NH4+-N), bicarbonate-extractable P, DTPA-extractable Mn, and solution-phase Ca+2, Mg+2, SO4 (-2), K+, and ortho-P. Burned shrub canopies also had, for most months, far less N mineralization potentials than unburned shrub canopies. The large increase in Mn availability in burned shrub canopies significantly correlates with mineral N and solution-phase Ca+ 2 and SO4 (-2), suggesting release via pyrolysis of soil organic matter. Except for a slight increase in solution-phase Mg+2, SO4 (-2), and ortho-P for particular months, there is little evidence for nutrient translocation from burned canopies to adjacent interspaces during the study. Density of the exotic annual grass Bromus tectorum increased from 5 to 10% cover pre-wildfire to about 60% in the post-wildfire growing season attesting to the importance of elevated soil nutrient availability to its growth.",
208,excluded,Once-yearly zoledronic acid in older men compared with women with recent hip fracture,"OBJECTIVES: To assess the efficacy of once-yearly zoledronic acid (ZOL) 5 mg in increasing bone mineral density (BMD) in men with a recent hip fracture participating in the Health Outcomes and Reduced Incidence with Zoledronic Acid Once-Yearly Recurrent Fracture Trial and to compare the efficacy with that in women from the same study. DESIGN: Randomized, placebo-controlled, double-blind trial. SETTING: International multicenter. PARTICIPANTS: Five hundred and eight men and 1,619 women within 90 days of surgical repair of low-trauma hip fracture in the same study (for comparison). INTERVENTION: Once-yearly intravenous (IV) ZOL 5 mg (n = 248) or placebo (n = 260), loading dose of vitamin D, daily calcium, and vitamin D supplements. MEASUREMENT: Changes in BMD. RESULTS: Percentage change from baseline in total hip BMD at Months 12 and 24 was significantly higher with ZOL than with placebo (between-group difference, 2.0%, P = .003, and 3.8%, P = .002, respectively). Percentage change from baseline in femoral neck BMD at Month 24 was significantly higher with ZOL than with placebo (3.8%, P = .003). The BMD benefit was comparable with that observed in women in this study. New clinical fractures occurred in 36 (7.1%) participants (ZOL, n = 16; placebo, n = 20; P = .64). The ZOL safety profile was comparable with that of placebo, with no significant differences in cardiovascular or long-term renal function and a trend toward lower mortality in ZOL-treated men. CONCLUSION: Once-yearly IV ZOL 5 mg increases bone mass at the hip and femoral neck in men within 90 days of repair of a low-trauma hip fracture. Increases were of a similar magnitude to those observed in women in the same study. J Am Geriatr Soc 59:2084-2090, 2011.",
209,excluded,Manure and mineral fertilizer effects on crop yield and soil carbon sequestration: a meta-analysis and modeling across china,"Manure application to soil has declined globally due to increased availability of mineral fertilizers. However, mineral fertilizer overuse has caused serious consequences for soil quality and the environment. We analyzed the results of 20 long-term field trials (22-32 years, start year [ranged from 1980 to 1990] to 2012) and combined this with a climate change model and soil organic carbon (SOC) model to quantify the importance of manure and mineral fertilizers for grain yield and SOC sequestration across croplands in China. During the past three decades mineral fertilizers have increased grain yield for 91-184% but had minor impact on SOC sequestration (4-16%). In contrast, manure applied with mineral fertilizer increased grain yield by only 6-19% but strongly raised the SOC content (9-39%) compared with mineral fertilizer. Modeling (to the year 2099) indicated that manure used in combination with mineral fertilizers will increase future C sequestration in soils across China by 2,086 Tg C and by 2,482 Tg C based on current net primary productivity with no climate change and on increased net primary productivity with climate change scenarios, respectively. This corresponds to an additional 43-58% increase in C sequestration compared to mineral fertilizers only. The manure efficiency for C sequestration in soil was about 9.6% of C input and decreased with increasing SOC content. To maintain the current SOC content (i.e., 2010), 11 t.ha(-1).year(-1) fresh manure or 4.8 t.ha(-1).year(-1) dry maize straw would be required. We conclude that the regular use of manure with mineral fertilizers is essential for the long-term dual functions of soil for food production and SOC sequestration.",manure; carbon sequestration; long-term experiments; RothC model; climate change
210,excluded,Identification of common oncogenic and early developmental pathways in the ovarian carcinomas controlling by distinct prognostically significant microrna subsets,"Background: High-grade serous ovarian carcinoma (HG-SOC) is the dominant tumor histologic type in epithelial ovarian cancers, exhibiting highly aberrant microRNA expression profiles and diverse pathways that collectively determine the disease aggressiveness and clinical outcomes. However, the functional relationships between microRNAs, the common pathways controlled by the microRNAs and their prognostic and therapeutic significance remain poorly understood. Methods: We investigated the gene expression patterns of microRNAs in the tumors of 582 HG-SOC patients to identify prognosis signatures and pathways controlled by tumor miRNAs. We developed a variable selection and prognostic method, which performs a robust selection of small-sized subsets of the predictive features (e. g., expressed microRNAs) that collectively serves as the biomarkers of cancer risk and progression stratification system, interconnecting these features with common cancer-related pathways. Results: Across different cohorts, our meta-analysis revealed two robust and unbiased miRNA-based prognostic classifiers. Each classifier reproducibly discriminates HG-SOC patients into high-confidence low-, intermediateor high-prognostic risk subgroups with essentially different 5-year overall survival rates of 51.6-85%, 20-38.1%, and 0-10%, respectively. Significant correlations of the risk subgroup's stratification with chemotherapy treatment response were observed. We predicted specific target genes involved in nine cancer-related and two oocyte maturation pathways (neurotrophin and progesterone-mediated oocyte maturation), where each gene can be controlled by more than one miRNA species of the distinct miRNA HG-SOC prognostic classifiers. Conclusions: We identified robust and reproducible miRNA-based prognostic subsets of the of HG-SOC classifiers. The miRNAs of these classifiers could control nine oncogenic and two developmental pathways, highlighting common underlying pathologic mechanisms and perspective targets for the further development of a personalized prognosis assay(s) and the development of miRNA-interconnected pathway-centric and multi-agent therapeutic intervention.",ovarian cancer; microRNA; prognostic signatures; oncogenic pathway; EMT; neurotrophin signaling; progesterone; mediated oocyte maturation; weighted voting grouping; meta-analysis; prognostic biomarker
211,excluded,The potential of organic fertilizers and water management to reduce n2o emissions in mediterranean climate cropping systems. A review,"Environmental problems related to the use of synthetic fertilizers and to organic waste management have led to increased interest in the use of organic materials as an alternative source of nutrients for crops, but this is also associated with N2O emissions. There has been an increasing amount of research into the effects of using different types of fertilization on N2O emissions under Mediterranean climatic conditions, but the findings have sometimes been rather contradictory. Available information also suggests that water management could exert a high influence on N2O emissions. In this context, we have reviewed the current scientific knowledge, including an analysis of the effect of fertilizer type and water management on direct N2O emissions. A meta-analysis of compliant reviewed experiments revealed significantly lower N2O emissions for organic as opposed to synthetic fertilizers (23% reduction). When organic materials were segregated in solid and liquid, only solid organic fertilizer emissions were significantly lower than those of synthetic fertilizers (28% reduction in cumulative emissions). The EF is similar to the IPCC factor in conventionally irrigated systems (0.98% N2O-N N applied(-1)), but one order of magnitude lower in rainfed systems (0.08%). Drip irrigation produces intermediate emission levels (0.66%). Differences are driven by Mediterranean agro-climatic characteristics, which include low soil organic matter (SOM) content and a distinctive rainfall and temperature pattern. Interactions between environmental and management factors and the microbial processes involved in N2O emissions are discussed in detail. Indirect emissions have not been fully accounted for, but when organic fertilizers are applied at similar N rates to synthetic fertilizers, they generally make smaller contributions to the leached NO3- pool. The most promising practices for reducing N2O through organic fertilization include: (i) minimizing water applications; (ii) minimizing bare soil; (iii) improving waste management; and (iv) tightening N cycling through N immobilization. The mitigation potential may be limited by: (i) residual effect; (ii) the long-term effects of fertilizers on SOM; (iii) lower yield-scaled performance; and (iv) total N availability from organic sources. Knowledge gaps identified in the review included: (i) insufficient sampling periods; (ii) high background emissions; (iii) the need to provide N2O EF and yield-scaled EF; (iv) the need for more research on specific cropping systems; and (v) the need for full GHG balances. In conclusion, the available information suggests a potential of organic fertilizers and water-saving practices to mitigate N2O emissions under Mediterranean climatic conditions, although further research is needed before it can be regarded as fully proven, understood and developed. (C) 2012 Elsevier B.V. All rights reserved.",
212,excluded,"Conventional oral and secondary high dose vaginal metronidazole therapy for recurrent bacterial vaginosis: clinical outcomes, impacts of sex and menses","Purpose: Oral metronidazole therapy is the standard of care for bacterial vaginosis (BV), yet it has alarming rates of recurrence and refractory responses among recurrent BV (RBV) patients. This study addresses whether high dose vaginal metronidazole therapy (HDM) is beneficial in RBV patients who fail after standard of care (SOC) therapy, whether diagnostic test scores proximal to the HDM predict clinical outcome, and whether menses, coitus, or race influences therapy outcome. Patients and methods: A total of 90 patients with RBV were given SOC and tracked 74 for up to 9 months. Refractory or recurrent patients (57) with symptomatic BV were given HDM and followed for up to 8 months. Patients were evaluated by Amsel criteria, Nugent score, and a qPCR assay that assesses the Lactobacillus content. Results: HDM achieved at least short-term remission in 68% of the patients who were refractory to or recurred after SOC and provided a 10-day increase in the mean duration of remission among patients who eventually recurred (p=0.027). Patients with prolonged dysbiosis (pH >5 or Amsel 4) before symptomatic recurrence were more likely to recur after subsequent HDM. Most recurrence happened within 10 days of menses, but sex in this cohort was not associated with clinical outcome. Mean diagnostic BV scores of African American patients in remission were inferior to scores of a small cohort of Caucasian patients in remission. Conclusion: Encouraging results obtained with HDM justify a prospective, randomized study to determine if follow-up HDM is beneficial among a broader cohort of women failing conventional oral metronidazole therapy.",nugent score; amsel criteria; LbRC; prognosis of bacterial vaginosis
213,included,Quantifying cover crop effects on soil health and productivity,"The dataset presented here supports the research paper entitled “A calculator to quantify cover crop effects on soil health and productivity”. Soil health (sometimes used synonymously with soil quality) is a concept that describes soil as a living system to sustain plants, animals, and human. Soil physical, chemical, and biological properties, along with their interactions, are required to quantify soil health. The use of cover crops in agricultural rotations may enhance soil health, yet there has been little progress in understanding how external factors such as climate, soil type, and agronomic practices affect soil and cash crop responses. In response, this dataset compiles measurements from 281 studies and provides an analysis of field-measured changes in 38 soil health indicators due to cover crop usage. Environmental and background indicators were also compiled to assess how climatic and management practices affect soil and cash crop responses to cover crops, with specific categories including climate type (tropical, arid, temperate, and continental), soil texture (coarse, medium, and fine), cover crop type (legume, grass, multi-species mixture, and other), and cash crop type (corn, soybean, wheat, vegetable, corn-soybean rotation, corn-soybean-wheat rotation, and other). An unbalanced analysis of variation was used to determine the hierarchy of most to least important factors that affected responsiveness of each soil health indicator. Based on the hierarchy structure, a soil health calculator was then developed to quantify the response of 13 parameters – erosion, runoff, weed suppression, soil aggregate stability, leaching, infiltration, microbial biomass carbon, soil bulk density, soil organic carbon, soil nitrogen, microbial biomass nitrogen, cash crop yield, and saturated hydraulic conductivity – to cover crops. The presented data in the calculator report the mean change in parameter values based on all combinations of climate, soil texture, cover crop type, and cash crop type","Soil health
Soil quality
Cover crop
Conservation management
Agriculture"
214,excluded,Grass-endophyte symbiosis: A neglected aboveground interaction with multiple belowground consequences,"Most terrestrial plants form symbiosis with a large variety of microorganisms that can be major determinants of morphological and physiological host traits that, ultimately, affect the structure and function of communities. Epichloae fungal endophytes (Clavicipitaceae) are widespread symbionts of grasses that asymptomatically inhabit aerial host tissues, and confer defense to herbivores and tolerance to multiple stresses. Research on symbionts of plants has focused on soil organisms such as nitrogen-fixing bacteria and mycorrhizal fungi, although recent studies suggest that endophytes of great agronomic interest can also generate major shifts in the belowground subsystem. We conducted a meta-analysis to examine the available knowledge on the effects of endophytes on the soil. Our objective was to provide a synthesis of existing data that, comprehensively and quantitatively, evaluates the different pathways by which the grass-endophyte symbiosis may affect belowground components and processes, and high-lights gaps in knowledge relevant to agroecosystem management. The presence of endophyte was found to reduce root biomass and mycorrhizal colonization of plants. In turn, a significant stimulation of root exudates by endophytes was detected. Effects of endophytes on soil respiration and litter decomposition were not significant. No pattern was found in the response of the soil fauna to endophyte presence. Our review revealed that we still need to improve our understanding about the impact of endophytes on other mutualistic symbionts. The grass-endophyte symbiosis is a promising interaction that, like those involving nitrogen-fixing bacteria and mycorrhizal fungi, may become an important tool for sustainable agriculture. (c) 2011 Elsevier B.V. All rights reserved.",
215,included,A Synthesis of Climate and Vegetation Cover Effects on Biogeochemical Cycling in Shrub-Dominated Drylands,"Semi-arid and arid ecosystems dominated by shrubs (""dry shrublands"") are an important component of the global C cycle, but impacts of climate change and elevated atmospheric CO2 on biogeochemical cycling in these ecosystems have not been synthetically assessed. This study synthesizes data from manipulative studies and from studies contrasting ecosystem processes in different vegetation microsites (that is, shrub or herbaceous canopy versus intercanopy microsites), to assess how changes in climate and atmospheric CO2 affect biogeochemical cycles by altering plant and microbial physiology and ecosystem structure. Further, we explore how ecosystem structure impacts on biogeochemical cycles differ across a climate gradient. We found that: (1) our ability to project ecological responses to changes in climate and atmospheric CO2 is limited by a dearth of manipulative studies, and by a lack of measurements in those studies that can explain biogeochemical changes, (2) changes in ecosystem structure will impact biogeochemical cycling, with decreasing pools and fluxes of C and N if vegetation canopy microsites were to decline, and (3) differences in biogeochemical cycling between microsites are predictable with a simple aridity index (MAP/MAT), where the relative difference in pools and fluxes of C and N between vegetation canopy and intercanopy microsites is positively correlated with aridity. We conclude that if climate change alters ecosystem structure, it will strongly impact biogeochemical cycles, with increasing aridity leading to greater heterogeneity in biogeochemical cycling among microsites. Additional long-term manipulative experiments situated across dry shrublands are required to better predict climate change impacts on biogeochemical cycling in deserts.",climate change; elevated atmospheric CO2; semi-arid and arid ecosystems; biogeochemical cycles; meta analysis; spatial heterogeneity
216,excluded,Modelling of co-occurrence patterns of grassland species: reciprocal shifting between competition and facilitation,"In plant community, competition and facilitation are widely studied themes across the globe however, their reciprocal shifting, if existed, requires more empirical efforts. In this study, temporal behaviour of co-occurrence patterns with relation to the nature and magnitude of deterministic control of soil, plant community and site quality factors were evaluated in grassland species of Indian arid zone. In this study, co-occurrence patterns during the three seasonal events were detected by using quantitative variable (relative importance value). Results revealed that competition among individuals was the major process during resource condition (rain) that shifted to facilitation during stress condition (summer). Soil organic carbon-soil phosphorus, diversity (Shannon index, evenness)-dominance (Simpson index), community maturity index-bare surface area were identified as major switch on and off points for such shifting, while soil moisture and grazing intensity were non-significant for such patterns. Results demonstrate that grassland species of the Indian arid region requires experimental quantification for the upper limits of significant exploratory variables.",Arid zone; Competition; Controlling factors; Co-occurrence; Facilitation
217,included,Potential of temperate agricultural soils for carbon sequestration: A meta-analysis of land-use effects,"Restoring depleted soil organic carbon (SOC) stocks of arable land to remove carbon from the atmosphere and offset fossil fuel emissions is a promising strategy for the mitigation of climate change. In agroecosystems conservational tillage practices and the abandonment of formerly plowed fields (ex-arable land) are shown to have the highest potential to sequester SOC. Nevertheless reported sequestration rates vary and the effects of environmental site conditions remain poorly understood. Our results are based on a meta-analysis of 273 paired SOC estimates from 65 publications which included only mineral soils from the temperate zone. SOC stocks of ex-arable grasslands with an average of 14 years since abandonment were 18% larger compared to the SOC of arable land. Likewise, SOC stocks of never-plowed grassland plots were 11% larger than the SOC stocks of abandoned fields. The average sequestration rate was 0.72 t C ha(-1) yr(-1). Semi-arid and sub-humid climate as well as low initial SOC stocks positively affected proportional SOC gains suggesting that the recovery of carbon stocks is not limited by low primary production. Therefore, the northward shift of cultivation areas in the temperate zone will lead to the abandonment of soils with high SOC recovery potential. However, if native soils are opened up elsewhere to compensate for yield losses due to abandonment the surplus of SOC in ex-arable land can easily be overcompensated by cultivation losses. (C) 2016 Elsevier B.V. All rights reserved.",SOC; Carbon sequestration; Agricultural abandonment; Ex-arable; No-till farming; Grassland restoration
218,excluded,Biochar increased soil respiration in temperate forests but had no effects in subtropical forests,"As a climate change mitigation strategy, biochar application to soil has been demonstrated to increase soil carbon (C) sequestration and reduce greenhouse gas (GHG) emission. Although numerous manipulative studies have been conducted, it is still not fully understood how biochar application affects soil respiration (Rs) and its components (i.e., autotrophic [Ra] and heterotrophic respiration [Rh]) in forest ecosystems, especially in subtropical forests. In this study, we performed a meta-analysis of forest ecosystems and a field experiment with biochar amendments of 0, 10, and 30 t ha(-1) in a subtropical forest in Zhejiang, China to examine the effects of biochar application on Rs and its components. Our results showed that biochar application significantly increased Rs by 20.92% at the global scale with an increase of 20.25% in temperate forests and a nonsignificant effect in subtropical forests. Responses of Rs to biochar application varied with experimental methods and soil textures. Similarly, our field experiment showed that biochar amendment did not significantly affect Ra, Rh, and Rs in a subtropical forest in Eastern China. Specifically, the average Rs under biochar amendments of 0, 10, and 30 t ha(-1) were 2.37, 2.06 and 2.15 mu mol m(-2) s(-1), respectively (P > 0.05). Both Rs and Rh were positively correlated with microbial biomass C (MBC) and negatively with dissolved organic C (DOC). Both apparent temperature sensitivity (Q(10)) of Rh and Rs were significantly higher under biochar treatments than in the control. Our findings indicate the importance of the differential effects of biochar application on Rs in different forest types for C sequestration, which may inform ecosystem and regional models to improve prediction of biochar effects on forest C dynamics and climate-biosphere feedbacks.",Biochar; Autotrophic respiration; Heterotrophic respiration; Forest; Meta-analysis
219,included,"Effect of Straw Retention on Crop Yield, Soil Properties, Water Use Efficiency and Greenhouse Gas Emission in China: A Meta-Analysis","Crop straw retention to field (CSRF) is a technology to impact the crop yield, soil properties and greenhouse gas (GHG) emission and plays a critical role in sustainable agriculture system. Based on the literatures published, a meta-analysis was performed to evaluate actual impact of CSRF on crop yield, soil properties and GHG emission compared with straw no-retention (NSR). The results indicated that compared with NSR, yield of wheat, maize and rice under CSRF was significantly higher by 4.11, 7.22 and 7.62% respectively; CSRF enhanced the water use efficiency (WUE) and soil organic carbon (SOC) by 14.60 and 7.59%, respectively, reduced the bulk density of 0-20 cm soil layer by 3.06%., while it had no significant effect on the SOC of 20-40 cm; For GHG emissions, the soil emissions of CO2, N2O and CH4 were significantly improved under CSRF by 23.64, 12.21 and 27.34% respectively. Categorically, results on meta-analysis and regression indicated that large variation in crop yield, SOC content and bulk density in 0-20 cm soil layer, WUE and GHG emission under CSRF compared with NSR because of different straw retention mass, retention regions, and crop species. For example, the increased rate of large straw retention mass (LA) on crop yield was the highest. Adoption of CSRF under appropriate site-specific conditions can safeguard China's food security, alleviate soil-related constraints and slightly increase GHG emissions.",Meta-analysizs; Straw retention; Crop yield; Soil properties; Greenhouse gas emission
220,excluded,"Quantifying the relationships between soil fraction mass, fraction carbon, and total soil carbon to assess mechanisms of physical protection","Relationships between soil fractions (their mass or carbon (C)) and soil organic carbon (SOC) have been used to develop central ideas in SOC research. However, few attempts have been made to quantify the relationship between SOC and all soil fractions, despite the potential for such an effort to address SOC stabilization processes. We identified 41 published studies that used diverse management techniques to cause a change in SOC concentration and disrupted soil into macroaggregates (>250 mu m), free microaggregates (53-250 mu m) and free silt + clay (<53 mu m), subsequently disrupting macroaggregates into constituent fractions (coarse particulate organic matter [cPOM] > 250 mu m, occluded microaggregates, and occluded silt + clay). We used linear hierarchical models to quantify relationships between mass, C concentration and total C of fractions and SOC. Soil mass redistribution toward macroaggregates was associated with SOC accumulation, however total microaggregate mass (free + occluded) did not increase with macroaggregate mass, as would be expected given de novo microaggregate formation within macroaggregates. Instead, high SOC soils exhibited a greater percent of total microaggregates occluded in macroaggregates. Occlusion in macroaggregates was also associated with increased C concentrations of microaggregates (35% higher, SE = 3.2) and silt + clay (30% higher, SE = 3.9) relative to their free counterparts. Taken together, these relationships suggest reduced macroaggregate turnover promotes SOC accumulation via the stabilization of C into occluded fractions. Rates of SOC increase with silt + clay C concentrations failed to increase with mean site-level SOC concentration, indicating of the studied soils (median SOC concentration = 14 g kg(-1); max 68), SOC accumulation appears unlikely to be limited by C storage capacity in the silt + clay fraction. For each unit SOC gain, macroaggregates accounted for 83% (95% CI = 74, 91), and occluded microaggregates for 43% (95% CI = 33, 52), consistent relationships that have potential to be used as benchmarks for fraction-based SOC models.",Soil organic matter; Meta-analysis; Stabilization mechanisms; Carbon saturation; Particulate organic matter; Aggregation
221,excluded,Long-term presence of charcoal increases maize yield in belgium due to increased soil water availability,"The short-term benefits of biochar application on crop yield await confirmation with long-term effects when initial liming or nutritional benefits are attenuated. In this study, we determined the above-ground silage maize yield in soils under historical charcoal kilns (black spots, >150 years enrichment) and adjacent soils in southern Belgium in three consecutive years (2014-2016). Maize yield in these well fertilized arable soils was, on average, 23% higher (P < 0.05) in black spots than in the adjacent soils and the charcoal-C concentration was, on average, 2.2 g 100 g(-1) soil (63% of total SOC) in the black spots. The factor yield increase decreased with average rainfall during the growing season (P < 0.05). Water retention curves of both soil types revealed 11% higher (P < 0.05) available water content, determined between pF 1.8 and pF 4.2, in soils under black spots. The delta C-13 analysis of maize leaves at final harvest determined in one season indicated lower water stress for plants grown on black spots. Nutrient concentrations in maize leaves were unaffected by charcoal even though significant positive effects of charcoal on soil CEC and concentrations of available Ca and Mg were detected. This study shows, for the first time, that historical charcoal amendment can increase maize yield in fertile, temperate soils considerably. These effects are most likely related to soil physical effects, rather than to nutritional effects.",Biochar; Soil fertility; Water retention curve; Soil nutrients; Crop yield
222,excluded,Synthesis analysis of the temperature sensitivity of soil respiration from laboratory studies in relation to incubation methods and soil conditions,"The temperature sensitivity of soil respiration is a main factor determining the response of global terrestrial soil carbon to global warming and, consequently, its feedback on atmospheric CO2 concentrations. A data synthesis was performed to summarize information available in the literature on the temperature sensitivity of soil respiration obtained in laboratory soil incubations and expressed as Q(10). The influence of common experimental variables and methods, i.e. range of incubation temperatures, length of incubation, calculation methods, and amounts of soil organic carbon, was analyzed. We found a small but significant difference between the Q(10), values calculated with different experimental methods as well as time-related trends showing an initial decrease followed by stable values. Q(10) values ranged from 0.5 to over 300 and were negatively correlated with temperature, but only at the range of temperatures below 25 degrees C. A similar dependence of the activation energy (derived from the Arrhenius equation) with temperature was observed. A negative relationship with total organic carbon content of soils was found in forest and grassland ecosystems, with an average decrease in Q(10) of 0.02 mgC g(-1) soil, explaining their slightly lower mean Q(10)s compared to cultivated soils. Because most of the observed variability remained unexplained, we emphasize the need for new approaches in future studies to the problem of understanding the temperature sensitivity of soil organic matter decomposition. (C) 2012 Elsevier Ltd. All rights reserved.",
223,excluded,Priming of soil organic carbon decomposition induced by exogenous organic carbon input: a meta-analysis,"Background and aims Priming effect (PE) of soil organic carbon (SOC) decomposition induced by exogenous organic C is an important ecological process in regulating the soil C cycle. The objective of this study was to evaluate how the PE varied among different ecosystems at the global scale and explore factors that drive the direction and magnitude of the PE. Methods Using 2048 experimental comparisons compiled from 94 incubation studies with stable (C-13) or radioactive (C-14) carbon isotopic techniques, we performed a meta-analysis on the effect of exogenous organic C input on native SOC decomposition (i.e., PE) across multiple terrestrial ecosystems. In particular, the linear mixed-effect model was used to examine the relationship between the PE and potential influencing factors. Results The addition of exogenous organic C significantly enhanced native SOC decomposition by 47.5% (i.e., positive PE), with the highest value in cropland soils (60.9%) and the lowest value in forest soils (26.2%). The intensity of the PE decreased with increasing SOC content, soil total nitrogen content, soil C/N, incubation duration, and incubation temperature, but increased with increasing exogenous organic C addition rate and soil pH. Soil PE was not affected by the complexity of exogenous organic C. Conclusions Our results indicate that positive PE is a widespread phenomenon in terrestrial ecosystems, and that the magnitude is closely related to soil properties and experimental conditions. These findings may be useful for understanding soil C priming and the effect on soil C balance under climate change scenarios.",Soil organic carbon decomposition; Priming effect; Carbon turnover; Soil property; Incubation condition
